 time      seg dst      amp      flag
 5672      4   3.056    259.199  1  
 5672      3   3.079    233.283  1  
 5672      2   3.146    90.967   1  
 5672      7   3.193    174.769  1  
 5672      6   3.118    221.954  1  
 5672      5   3.069    282.250  1  
 5672      4   3.056    259.199  1  
 5672      3   3.079    233.283  1  
 5672      2   3.146    90.967   1  
 5785      7   3.282    178.677  1  
 5785      6   3.208    210.128  1  
 5785      5   3.161    271.031  1  
 5785      4   3.153    239.438  1  
 5785      3   3.183    211.918  1  
 5785      2   3.258    61.240   1  
 5785      7   3.282    178.677  1  
 5785      6   3.208    210.128  1  
 5785      5   3.161    271.031  1  
 5785      4   3.153    239.438  1  
 5785      3   3.183    211.918  1  
 5785      2   3.258    61.240   1  
 5844      7   3.324    173.900  1  
 5844      6   3.250    205.578  1  
 5844      5   3.203    263.989  1  
 5844      4   3.199    231.138  1  
 5844      3   3.231    206.600  1  
 5844      2   3.315    49.934   1  
 5844      7   3.324    173.900  1  
 5844      6   3.250    205.578  1  
 5844      5   3.203    263.989  1  
 5844      4   3.199    231.138  1  
 5844      3   3.231    206.600  1  
 5844      2   3.315    49.934   1  
 5956      7   3.417    155.006  1  
 5956      6   3.339    196.994  1  
 5956      5   3.295    253.035  1  
 5956      4   3.296    217.980  1  
 5956      3   3.328    194.193  1  
 5956      2   3.435    35.950   1  
 5956      7   3.417    155.006  1  
 5956      6   3.339    196.994  1  
 5956      5   3.295    253.035  1  
 5956      4   3.296    217.980  1  
 5956      3   3.328    194.193  1  
 5956      2   3.435    35.950   1  
 6016      7   3.466    138.609  1  
 6016      6   3.386    188.506  1  
 6016      5   3.343    245.518  1  
 6016      4   3.344    213.184  1  
 6016      3   3.369    189.217  1  
 6016      2   3.483    32.257   1  
 6016      7   3.466    138.609  1  
 6016      6   3.386    188.506  1  
 6016      5   3.343    245.518  1  
 6016      4   3.344    213.184  1  
 6016      3   3.369    189.217  1  
 6016      2   3.483    32.257   1  
 6126      7   3.580    84.312   1  
 6126      6   3.491    173.241  1  
 6126      5   3.444    231.393  1  
 6126      4   3.447    202.298  1  
 6126      3   3.460    180.390  1  
 6126      2   3.576    31.645   1  
 6126      7   3.580    84.312   1  
 6126      6   3.491    173.241  1  
 6126      5   3.444    231.393  1  
 6126      4   3.447    202.298  1  
 6126      3   3.460    180.390  1  
 6126      2   3.576    31.645   1  
 6245      7   3.722    33.807   1  
 6245      6   3.619    151.693  1  
 6245      5   3.560    210.608  1  
 6245      4   3.561    189.222  1  
 6245      3   3.579    174.378  1  
 6245      2   3.671    38.810   1  
 6245      7   3.722    33.807   1  
 6245      6   3.619    151.693  1  
 6245      5   3.560    210.608  1  
 6245      4   3.561    189.222  1  
 6245      3   3.579    174.378  1  
 6245      2   3.671    38.810   1  
 6302      7   3.821    20.137   1  
 6302      6   3.688    140.577  1  
 6302      5   3.623    199.470  1  
 6302      4   3.618    184.166  1  
 6302      3   3.642    173.893  1  
 6302      2   3.728    47.254   1  
 6302      7   3.821    20.137   1  
 6302      6   3.688    140.577  1  
 6302      5   3.623    199.470  1  
 6302      4   3.618    184.166  1  
 6302      3   3.642    173.893  1  
 6302      2   3.728    47.254   1  
 6416      6   3.816    126.004  1  
 6416      5   3.743    177.746  1  
 6416      4   3.725    176.461  1  
 6416      3   3.761    168.905  1  
 6416      2   3.825    71.222   1  
 6416      6   3.816    126.004  1  
 6416      5   3.743    177.746  1  
 6416      4   3.725    176.461  1  
 6416      3   3.761    168.905  1  
 6416      2   3.825    71.222   1  
 6530      6   3.921    111.499  1  
 6530      5   3.854    165.827  1  
 6530      4   3.828    168.779  1  
 6530      3   3.867    153.282  1  
 6530      2   3.935    80.201   1  
 6530      6   3.921    111.499  1  
 6530      5   3.854    165.827  1  
